Session ID,Games Simulated in Session,Avg Bet (Xbase),Lifetime winrate (W/L x(Base)),Amount won (Xbase),Amount loss (Xbase),Amount push (Xbase),Lifetime Net Gain/Loss (Xbase)
1,1000,1.155,51.092117758784426,538.0,515.0,102.0,23.0
2,1000,1.1585,51.32373432419879,552.5,524.0,82.0,28.5
3,1000,1.1375,48.32116788321168,496.5,531.0,110.0,-34.5
4,1000,1.1715,50.34997666822212,539.5,532.0,100.0,7.5
5,1000,1.146,48.15515610217597,509.0,548.0,89.0,-39.0
6,1000,1.1645,47.81382228490832,508.5,555.0,101.0,-46.5
7,1000,1.145,48.04575786463298,504.0,545.0,96.0,-41.0
8,1000,1.171,49.486461251167135,530.0,541.0,100.0,-11.0
9,1000,1.1625,45.94847775175644,490.5,577.0,95.0,-86.5
10,1000,1.1385,49.684924866698985,512.5,519.0,107.0,-6.5
