Session ID,Cumulative Games,Games Simulated in Session,Games Played in Session,Lifetime Avg Bet (Xbase),Lifetime winrate (W/L x(Base)),Lifetime Amount won (Xbase),Lifetime Amount loss (Xbase),Lifetime Amount push (Xbase),Lifetime Net Gain/Loss (Xbase),Session Avg Bet (Xbase),Session winrate (W/L x(Base)),Session Amount won (Xbase),Session Amount loss (Xbase),Session Amount push (Xbase),Session Net Gain/Loss (Xbase)
1,1000,1000,57.0,0.985,48.663,455.0,480.0,50.0,-25.0,0.985,48.663,455.0,480.0,50.0,-25.0
2,2000,1000,66.0,1.048,50.63,1005.0,980.0,110.0,25.0,1.11,52.381,550.0,500.0,60.0,50.0
3,3000,1000,64.0,1.132,48.325,1515.0,1620.0,260.0,-105.0,1.3,44.348,510.0,640.0,150.0,-130.0
4,4000,1000,70.0,1.124,48.221,1965.0,2110.0,420.0,-145.0,1.1,47.872,450.0,490.0,160.0,-40.0
5,5000,1000,39.0,1.009,49.398,2255.0,2310.0,480.0,-55.0,0.55,59.184,290.0,200.0,60.0,90.0
6,6000,1000,80.0,1.037,50.088,2850.0,2840.0,530.0,10.0,1.175,52.889,595.0,530.0,50.0,65.0
7,7000,1000,7.0,0.906,50.346,2910.0,2870.0,560.0,40.0,0.12,66.667,60.0,30.0,30.0,30.0
8,8000,1000,67.0,0.906,50.075,3320.0,3310.0,620.0,10.0,0.91,48.235,410.0,440.0,60.0,-30.0
9,9000,1000,57.0,0.893,49.286,3625.0,3730.0,680.0,-105.0,0.785,42.069,305.0,420.0,60.0,-115.0
10,10000,1000,51.0,0.87,47.935,3830.0,4160.0,710.0,-330.0,0.665,32.283,205.0,430.0,30.0,-225.0
11,11000,1000,40.0,0.84,47.765,4060.0,4440.0,740.0,-380.0,0.54,45.098,230.0,280.0,30.0,-50.0
12,12000,1000,58.0,0.851,48.721,4570.0,4810.0,830.0,-240.0,0.97,57.955,510.0,370.0,90.0,140.0
13,13000,1000,43.0,0.825,49.089,4850.0,5030.0,850.0,-180.0,0.52,56.0,280.0,220.0,20.0,60.0
14,14000,1000,32.0,0.804,50.314,5215.0,5150.0,890.0,65.0,0.525,75.258,365.0,120.0,40.0,245.0
15,15000,1000,45.0,0.804,49.843,5545.0,5580.0,930.0,-35.0,0.8,43.421,330.0,430.0,40.0,-100.0
16,16000,1000,54.0,0.802,49.641,5875.0,5960.0,1000.0,-85.0,0.78,46.479,330.0,380.0,70.0,-50.0
17,17000,1000,20.0,0.773,49.236,5965.0,6150.0,1020.0,-185.0,0.3,32.143,90.0,190.0,20.0,-100.0
18,18000,1000,18.0,0.748,49.217,6125.0,6320.0,1020.0,-195.0,0.33,48.485,160.0,170.0,0.0,-10.0
19,19000,1000,17.0,0.724,48.934,6200.0,6470.0,1080.0,-270.0,0.285,33.333,75.0,150.0,60.0,-75.0
20,20000,1000,54.0,0.725,49.009,6555.0,6820.0,1120.0,-265.0,0.745,50.355,355.0,350.0,40.0,5.0
21,21000,1000,108.0,0.771,49.782,7435.0,7500.0,1250.0,-65.0,1.69,56.41,880.0,680.0,130.0,200.0
22,22000,1000,67.0,0.783,48.964,7800.0,8130.0,1300.0,-330.0,1.045,36.683,365.0,630.0,50.0,-265.0
23,23000,1000,50.0,0.796,49.438,8360.0,8550.0,1390.0,-190.0,1.07,57.143,560.0,420.0,90.0,140.0
24,24000,1000,64.0,0.799,49.081,8675.0,9000.0,1490.0,-325.0,0.865,41.176,315.0,450.0,100.0,-135.0
25,25000,1000,55.0,0.797,49.306,9065.0,9320.0,1540.0,-255.0,0.76,54.93,390.0,320.0,50.0,70.0
26,26000,1000,30.0,0.784,49.428,9285.0,9500.0,1590.0,-215.0,0.45,55.0,220.0,180.0,50.0,40.0
27,27000,1000,59.0,0.799,49.736,9875.0,9980.0,1730.0,-105.0,1.21,55.14,590.0,480.0,140.0,110.0
28,28000,1000,47.0,0.795,49.645,10135.0,10280.0,1850.0,-145.0,0.68,46.429,260.0,300.0,120.0,-40.0
29,29000,1000,37.0,0.793,49.443,10435.0,10670.0,1900.0,-235.0,0.74,43.478,300.0,390.0,50.0,-90.0
30,30000,1000,81.0,0.808,49.573,11040.0,11230.0,1960.0,-190.0,1.225,51.931,605.0,560.0,60.0,45.0
31,31000,1000,67.0,0.816,50.064,11660.0,11630.0,2020.0,30.0,1.08,60.784,620.0,400.0,60.0,220.0
32,32000,1000,75.0,0.83,49.582,12155.0,12360.0,2060.0,-205.0,1.265,40.408,495.0,730.0,40.0,-235.0
