Session ID,Cumulative Games,Games Simulated in Session,Games Played in Session,Lifetime Avg Bet (Xbase),Lifetime winrate (W/L x(Base)),Lifetime Amount won (Xbase),Lifetime Amount loss (Xbase),Lifetime Amount push (Xbase),Lifetime Net Gain/Loss (Xbase),Session Avg Bet (Xbase),Session winrate (W/L x(Base)),Session Amount won (Xbase),Session Amount loss (Xbase),Session Amount push (Xbase),Session Net Gain/Loss (Xbase)
1,1000,1000,139.0,4.335,40.834,1615.0,2340.0,380.0,-725.0,4.335,40.834,1615.0,2340.0,380.0,-725.0
2,2000,1000,197.0,4.95,48.505,4380.0,4650.0,870.0,-270.0,5.565,54.483,2765.0,2310.0,490.0,455.0
3,3000,1000,149.0,4.382,49.688,5975.0,6050.0,1120.0,-75.0,3.245,53.255,1595.0,1400.0,250.0,195.0
4,4000,1000,223.0,4.567,49.365,8160.0,8370.0,1740.0,-210.0,5.125,48.502,2185.0,2320.0,620.0,-135.0
5,5000,1000,185.0,4.741,48.921,10545.0,11010.0,2150.0,-465.0,5.435,47.463,2385.0,2640.0,410.0,-255.0
6,6000,1000,136.0,4.435,48.489,11710.0,12440.0,2460.0,-730.0,2.905,44.894,1165.0,1430.0,310.0,-265.0
7,7000,1000,181.0,4.457,49.119,13940.0,14440.0,2820.0,-500.0,4.59,52.719,2230.0,2000.0,360.0,230.0
8,8000,1000,197.0,4.426,48.578,15540.0,16450.0,3420.0,-910.0,4.21,44.321,1600.0,2010.0,600.0,-410.0
9,9000,1000,200.0,4.458,48.96,17775.0,18530.0,3820.0,-755.0,4.715,51.796,2235.0,2080.0,400.0,155.0
10,10000,1000,191.0,4.465,48.385,19545.0,20850.0,4250.0,-1305.0,4.52,43.276,1770.0,2320.0,430.0,-550.0
11,11000,1000,125.0,4.287,48.323,20600.0,22030.0,4530.0,-1430.0,2.515,47.204,1055.0,1180.0,280.0,-125.0
12,12000,1000,161.0,4.315,48.943,23025.0,24020.0,4730.0,-995.0,4.615,54.926,2425.0,1990.0,200.0,435.0
13,13000,1000,149.0,4.262,49.156,24760.0,25610.0,5030.0,-850.0,3.625,52.18,1735.0,1590.0,300.0,145.0
14,14000,1000,175.0,4.242,49.148,26405.0,27320.0,5670.0,-915.0,3.995,49.031,1645.0,1710.0,640.0,-65.0
15,15000,1000,243.0,4.321,49.889,29260.0,29390.0,6160.0,-130.0,5.415,57.97,2855.0,2070.0,490.0,785.0
16,16000,1000,131.0,4.212,50.078,30555.0,30460.0,6380.0,95.0,2.585,54.757,1295.0,1070.0,220.0,225.0
17,17000,1000,186.0,4.235,49.583,32375.0,32920.0,6700.0,-545.0,4.6,42.523,1820.0,2460.0,320.0,-640.0
18,18000,1000,208.0,4.286,49.553,34655.0,35280.0,7210.0,-625.0,5.15,49.138,2280.0,2360.0,510.0,-80.0
19,19000,1000,191.0,4.317,49.738,37080.0,37470.0,7480.0,-390.0,4.885,52.546,2425.0,2190.0,270.0,235.0
20,20000,1000,185.0,4.337,50.006,39330.0,39320.0,8090.0,10.0,4.71,54.878,2250.0,1850.0,610.0,400.0
21,21000,1000,175.0,4.312,49.915,41020.0,41160.0,8370.0,-140.0,3.81,47.875,1690.0,1840.0,280.0,-150.0
22,22000,1000,158.0,4.356,49.815,43130.0,43450.0,9250.0,-320.0,5.28,47.955,2110.0,2290.0,880.0,-180.0
23,23000,1000,152.0,4.328,49.947,44885.0,44980.0,9690.0,-95.0,3.725,53.425,1755.0,1530.0,440.0,225.0
24,24000,1000,198.0,4.328,49.768,46715.0,47150.0,10000.0,-435.0,4.31,45.75,1830.0,2170.0,310.0,-340.0
25,25000,1000,119.0,4.271,49.891,48170.0,48380.0,10220.0,-210.0,2.905,54.19,1455.0,1230.0,220.0,225.0
26,26000,1000,116.0,4.179,49.799,48895.0,49290.0,10470.0,-395.0,1.885,44.343,725.0,910.0,250.0,-185.0
27,27000,1000,105.0,4.086,49.832,49705.0,50040.0,10570.0,-335.0,1.66,51.923,810.0,750.0,100.0,60.0
28,28000,1000,104.0,4.033,49.706,50740.0,51340.0,10840.0,-600.0,2.605,44.325,1035.0,1300.0,270.0,-265.0
29,29000,1000,192.0,4.052,49.614,52710.0,53530.0,11280.0,-820.0,4.6,47.356,1970.0,2190.0,440.0,-220.0
30,30000,1000,147.0,4.021,49.536,53940.0,54950.0,11740.0,-1010.0,3.11,46.415,1230.0,1420.0,460.0,-190.0
31,31000,1000,100.0,3.944,49.572,54735.0,55680.0,11850.0,-945.0,1.635,52.131,795.0,730.0,110.0,65.0
32,32000,1000,240.0,3.996,49.415,57060.0,58410.0,12410.0,-1350.0,5.615,45.994,2325.0,2730.0,560.0,-405.0
33,33000,1000,119.0,3.95,49.516,58300.0,59440.0,12610.0,-1140.0,2.47,54.626,1240.0,1030.0,200.0,210.0
34,34000,1000,90.0,3.893,49.54,59280.0,60380.0,12710.0,-1100.0,2.02,51.042,980.0,940.0,100.0,40.0
35,35000,1000,195.0,3.918,49.373,61185.0,62740.0,13210.0,-1555.0,4.765,44.666,1905.0,2360.0,500.0,-455.0
36,36000,1000,276.0,3.995,49.052,63870.0,66340.0,13620.0,-2470.0,6.695,42.721,2685.0,3600.0,410.0,-915.0
37,37000,1000,148.0,3.985,49.299,65760.0,67630.0,14040.0,-1870.0,3.6,59.434,1890.0,1290.0,420.0,600.0
38,38000,1000,121.0,3.953,49.296,67045.0,68960.0,14190.0,-1915.0,2.765,49.14,1285.0,1330.0,150.0,-45.0
39,39000,1000,191.0,3.942,49.33,68695.0,70560.0,14500.0,-1865.0,3.56,50.769,1650.0,1600.0,310.0,50.0
40,40000,1000,80.0,3.875,49.379,69345.0,71090.0,14580.0,-1745.0,1.26,55.085,650.0,530.0,80.0,120.0
41,41000,1000,188.0,3.882,49.768,71820.0,72490.0,14860.0,-670.0,4.155,63.871,2475.0,1400.0,280.0,1075.0
42,42000,1000,174.0,3.874,49.922,73690.0,73920.0,15100.0,-230.0,3.54,56.667,1870.0,1430.0,240.0,440.0
43,43000,1000,93.0,3.829,50.01,74670.0,74640.0,15350.0,30.0,1.95,57.647,980.0,720.0,250.0,260.0
44,44000,1000,127.0,3.808,49.914,75870.0,76130.0,15530.0,-260.0,2.87,44.61,1200.0,1490.0,180.0,-290.0
45,45000,1000,181.0,3.829,50.01,78190.0,78160.0,15940.0,30.0,4.76,53.333,2320.0,2030.0,410.0,290.0
46,46000,1000,195.0,3.841,49.855,79925.0,80390.0,16380.0,-465.0,4.405,43.758,1735.0,2230.0,440.0,-495.0
47,47000,1000,159.0,3.829,49.968,81685.0,81790.0,16490.0,-105.0,3.27,55.696,1760.0,1400.0,110.0,360.0
48,48000,1000,167.0,3.829,50.013,83455.0,83410.0,16920.0,45.0,3.82,52.212,1770.0,1620.0,430.0,150.0
49,49000,1000,204.0,3.832,50.021,85320.0,85250.0,17210.0,70.0,3.995,50.337,1865.0,1840.0,290.0,25.0
50,50000,1000,191.0,3.868,49.853,87575.0,88090.0,17710.0,-515.0,5.595,44.259,2255.0,2840.0,500.0,-585.0
51,51000,1000,212.0,3.886,49.86,89785.0,90290.0,18130.0,-505.0,4.83,50.113,2210.0,2200.0,420.0,10.0
52,52000,1000,191.0,3.919,49.934,92335.0,92580.0,18860.0,-245.0,5.57,52.686,2550.0,2290.0,730.0,260.0
53,53000,1000,179.0,3.926,50.142,94735.0,94200.0,19150.0,535.0,4.31,59.701,2400.0,1620.0,290.0,780.0
54,54000,1000,148.0,3.93,50.167,96725.0,96080.0,19430.0,645.0,4.15,51.421,1990.0,1880.0,280.0,110.0
55,55000,1000,124.0,3.898,50.13,97655.0,97150.0,19580.0,505.0,2.15,46.5,930.0,1070.0,150.0,-140.0
56,56000,1000,234.0,3.918,50.3,100255.0,99060.0,20100.0,1195.0,5.03,57.65,2600.0,1910.0,520.0,690.0
57,57000,1000,134.0,3.91,50.262,101640.0,100580.0,20670.0,1060.0,3.475,47.676,1385.0,1520.0,570.0,-135.0
58,58000,1000,113.0,3.881,50.306,102690.0,101440.0,20950.0,1250.0,2.19,54.974,1050.0,860.0,280.0,190.0
59,59000,1000,137.0,3.864,50.278,103930.0,102780.0,21240.0,1150.0,2.87,48.062,1240.0,1340.0,290.0,-100.0
60,60000,1000,135.0,3.854,50.268,105385.0,104260.0,21610.0,1125.0,3.305,49.574,1455.0,1480.0,370.0,-25.0
61,61000,1000,143.0,3.855,50.009,106610.0,106570.0,21960.0,40.0,3.885,34.653,1225.0,2310.0,350.0,-1085.0
62,62000,1000,144.0,3.842,49.893,107750.0,108210.0,22230.0,-460.0,3.05,41.007,1140.0,1640.0,270.0,-500.0
63,63000,1000,121.0,3.825,49.91,109035.0,109430.0,22480.0,-395.0,2.755,51.297,1285.0,1220.0,250.0,65.0
64,64000,1000,179.0,3.82,49.906,110605.0,111020.0,22850.0,-415.0,3.53,49.684,1570.0,1590.0,370.0,-20.0
65,65000,1000,150.0,3.85,50.132,113780.0,113180.0,23270.0,600.0,5.755,59.513,3175.0,2160.0,420.0,1015.0
