Session ID,Cumulative Games,Games Simulated in Session,Games Played in Session,Lifetime Avg Bet (Xbase),Lifetime winrate (W/L x(Base)),Lifetime Amount won (Xbase),Lifetime Amount loss (Xbase),Lifetime Amount push (Xbase),Lifetime Net Gain/Loss (Xbase),Session Avg Bet (Xbase),Session winrate (W/L x(Base)),Session Amount won (Xbase),Session Amount loss (Xbase),Session Amount push (Xbase),Session Net Gain/Loss (Xbase)
1,1000,1000,194.0,5.1,51.078,2370.0,2270.0,460.0,100.0,5.1,51.078,2370.0,2270.0,460.0,100.0
2,2000,1000,248.0,5.64,49.951,5100.0,5110.0,1070.0,-10.0,6.18,49.013,2730.0,2840.0,610.0,-110.0
3,3000,1000,104.0,4.32,51.188,6030.0,5750.0,1180.0,280.0,1.68,59.236,930.0,640.0,110.0,290.0
4,4000,1000,281.0,5.388,51.908,10200.0,9450.0,1900.0,750.0,8.59,52.986,4170.0,3700.0,720.0,470.0
5,5000,1000,190.0,5.294,51.122,12300.0,11760.0,2410.0,540.0,4.92,47.619,2100.0,2310.0,510.0,-210.0
6,6000,1000,216.0,5.629,49.535,15165.0,15450.0,3160.0,-285.0,7.305,43.707,2865.0,3690.0,750.0,-825.0
7,7000,1000,178.0,5.437,48.957,16890.0,17610.0,3560.0,-720.0,4.285,44.402,1725.0,2160.0,400.0,-435.0
8,8000,1000,174.0,5.216,49.57,18745.0,19070.0,3910.0,-325.0,3.665,55.958,1855.0,1460.0,350.0,395.0
9,9000,1000,125.0,4.949,49.486,19995.0,20410.0,4140.0,-415.0,2.82,48.263,1250.0,1340.0,230.0,-90.0
10,10000,1000,140.0,4.763,49.715,21375.0,21620.0,4640.0,-245.0,3.09,53.282,1380.0,1210.0,500.0,170.0
11,11000,1000,187.0,4.77,50.184,23875.0,23700.0,4890.0,175.0,4.83,54.585,2500.0,2080.0,250.0,420.0
12,12000,1000,149.0,4.65,50.084,25315.0,25230.0,5250.0,85.0,3.33,48.485,1440.0,1530.0,360.0,-90.0
13,13000,1000,193.0,4.834,50.175,28610.0,28410.0,5820.0,200.0,7.045,50.888,3295.0,3180.0,570.0,115.0
14,14000,1000,134.0,4.707,49.745,29795.0,30100.0,6000.0,-305.0,3.055,41.217,1185.0,1690.0,180.0,-505.0
15,15000,1000,130.0,4.578,49.764,31145.0,31440.0,6080.0,-295.0,2.77,50.186,1350.0,1340.0,80.0,10.0
