Session ID,Cumulative Games,Games Simulated in Session,Games Played in Session,Lifetime Avg Bet (Xbase),Lifetime winrate (W/L x(Base)),Lifetime Amount won (Xbase),Lifetime Amount loss (Xbase),Lifetime Amount push (Xbase),Lifetime Net Gain/Loss (Xbase),Session Avg Bet (Xbase),Session winrate (W/L x(Base)),Session Amount won (Xbase),Session Amount loss (Xbase),Session Amount push (Xbase),Session Net Gain/Loss (Xbase)
1,1000,1000,127.0,2.67,56.25,1440.0,1120.0,110.0,320.0,2.67,56.25,1440.0,1120.0,110.0,320.0
2,2000,1000,167.0,3.228,49.959,3045.0,3050.0,360.0,-5.0,3.785,45.403,1605.0,1930.0,250.0,-325.0
3,3000,1000,107.0,2.822,48.433,3785.0,4030.0,650.0,-245.0,2.01,43.023,740.0,980.0,290.0,-240.0
4,4000,1000,174.0,3.248,49.414,5900.0,6040.0,1050.0,-140.0,4.525,51.273,2115.0,2010.0,400.0,105.0
5,5000,1000,140.0,3.351,50.767,7775.0,7540.0,1440.0,235.0,3.765,55.556,1875.0,1500.0,390.0,375.0
6,6000,1000,110.0,3.16,51.358,8890.0,8420.0,1650.0,470.0,2.205,55.89,1115.0,880.0,210.0,235.0
7,7000,1000,115.0,3.135,51.655,10375.0,9710.0,1860.0,665.0,2.985,53.514,1485.0,1290.0,210.0,195.0
8,8000,1000,175.0,3.293,52.16,12615.0,11570.0,2160.0,1045.0,4.4,54.634,2240.0,1860.0,300.0,380.0
9,9000,1000,179.0,3.392,51.048,14370.0,13780.0,2380.0,590.0,4.185,44.262,1755.0,2210.0,220.0,-455.0
10,10000,1000,183.0,3.61,51.852,17220.0,15990.0,2890.0,1230.0,5.57,56.324,2850.0,2210.0,510.0,640.0
11,11000,1000,273.0,3.955,50.805,20355.0,19710.0,3440.0,645.0,7.405,45.733,3135.0,3720.0,550.0,-585.0
12,12000,1000,133.0,3.846,50.84,21635.0,20920.0,3600.0,715.0,2.65,51.406,1280.0,1210.0,160.0,70.0
13,13000,1000,172.0,3.856,51.587,23805.0,22340.0,3980.0,1465.0,3.97,60.446,2170.0,1420.0,380.0,750.0
14,14000,1000,88.0,3.761,51.444,24930.0,23530.0,4200.0,1400.0,2.535,48.596,1125.0,1190.0,220.0,-65.0
15,15000,1000,139.0,3.708,51.148,26185.0,25010.0,4420.0,1175.0,2.955,45.887,1255.0,1480.0,220.0,-225.0
16,16000,1000,231.0,3.86,51.244,29135.0,27720.0,4900.0,1415.0,6.14,52.12,2950.0,2710.0,480.0,240.0
17,17000,1000,243.0,3.945,51.193,31530.0,30060.0,5470.0,1470.0,5.305,50.581,2395.0,2340.0,570.0,55.0
18,18000,1000,95.0,3.833,51.287,32480.0,30850.0,5660.0,1630.0,1.93,54.598,950.0,790.0,190.0,160.0
19,19000,1000,182.0,3.839,51.321,34390.0,32620.0,5930.0,1770.0,3.95,51.902,1910.0,1770.0,270.0,140.0
20,20000,1000,184.0,3.879,51.51,36595.0,34450.0,6540.0,2145.0,4.645,54.647,2205.0,1830.0,610.0,375.0
21,21000,1000,190.0,3.924,51.555,38960.0,36610.0,6840.0,2350.0,4.825,52.265,2365.0,2160.0,300.0,205.0
22,22000,1000,169.0,3.904,51.66,40695.0,38080.0,7110.0,2615.0,3.475,54.134,1735.0,1470.0,270.0,265.0
23,23000,1000,167.0,3.888,51.255,42050.0,39990.0,7390.0,2060.0,3.545,41.501,1355.0,1910.0,280.0,-555.0
24,24000,1000,123.0,3.844,51.279,43415.0,41250.0,7600.0,2165.0,2.835,52.0,1365.0,1260.0,210.0,105.0
25,25000,1000,150.0,3.834,51.209,45100.0,42970.0,7770.0,2130.0,3.575,49.486,1685.0,1720.0,170.0,-35.0
26,26000,1000,189.0,3.861,51.451,47415.0,44740.0,8220.0,2675.0,4.535,56.671,2315.0,1770.0,450.0,545.0
27,27000,1000,166.0,3.871,51.575,49515.0,46490.0,8500.0,3025.0,4.13,54.545,2100.0,1750.0,280.0,350.0
28,28000,1000,212.0,3.922,51.692,52080.0,48670.0,9080.0,3410.0,5.325,54.057,2565.0,2180.0,580.0,385.0
29,29000,1000,171.0,3.948,51.408,54040.0,51080.0,9380.0,2960.0,4.67,44.851,1960.0,2410.0,300.0,-450.0
30,30000,1000,219.0,3.978,51.298,56130.0,53290.0,9930.0,2840.0,4.85,48.605,2090.0,2210.0,550.0,-120.0
31,31000,1000,136.0,3.95,51.619,57935.0,54300.0,10210.0,3635.0,3.095,64.121,1805.0,1010.0,280.0,795.0
32,32000,1000,251.0,4.052,51.488,61070.0,57540.0,11040.0,3530.0,7.205,49.176,3135.0,3240.0,830.0,-105.0
33,33000,1000,203.0,4.108,51.733,64170.0,59870.0,11520.0,4300.0,5.91,57.09,3100.0,2330.0,480.0,770.0
34,34000,1000,157.0,4.091,51.558,65670.0,61700.0,11730.0,3970.0,3.54,45.045,1500.0,1830.0,210.0,-330.0
35,35000,1000,151.0,4.064,51.634,67300.0,63040.0,11890.0,4260.0,3.13,54.882,1630.0,1340.0,160.0,290.0
36,36000,1000,240.0,4.144,51.648,70680.0,66170.0,12350.0,4510.0,6.97,51.92,3380.0,3130.0,460.0,250.0
37,37000,1000,199.0,4.183,51.686,73515.0,68720.0,12550.0,4795.0,5.585,52.646,2835.0,2550.0,200.0,285.0
38,38000,1000,145.0,4.141,51.586,74585.0,70000.0,12790.0,4585.0,2.59,45.532,1070.0,1280.0,240.0,-210.0
39,39000,1000,132.0,4.125,51.646,76345.0,71480.0,13060.0,4865.0,3.51,54.321,1760.0,1480.0,270.0,280.0
40,40000,1000,136.0,4.095,51.583,77560.0,72800.0,13420.0,4760.0,2.895,47.929,1215.0,1320.0,360.0,-105.0
