Session ID,Cumulative Games,Games Simulated in Session,Games Played in Session,Lifetime Avg Bet (Xbase),Lifetime winrate (W/L x(Base)),Lifetime Amount won (Xbase),Lifetime Amount loss (Xbase),Lifetime Amount push (Xbase),Lifetime Net Gain/Loss (Xbase),Session Avg Bet (Xbase),Session winrate (W/L x(Base)),Session Amount won (Xbase),Session Amount loss (Xbase),Session Amount push (Xbase),Session Net Gain/Loss (Xbase)
1,1000,1000,172.0,4.81,48.478,2070.0,2200.0,540.0,-130.0,4.81,48.478,2070.0,2200.0,540.0,-130.0
2,2000,1000,329.0,8.752,47.09,7485.0,8410.0,1610.0,-925.0,12.695,46.581,5415.0,6210.0,1070.0,-795.0
3,3000,1000,315.0,9.945,50.887,13915.0,13430.0,2490.0,485.0,12.33,56.157,6430.0,5020.0,880.0,1410.0
4,4000,1000,207.0,9.162,50.95,17160.0,16520.0,2970.0,640.0,6.815,51.223,3245.0,3090.0,480.0,155.0
5,5000,1000,156.0,8.319,50.283,19085.0,18870.0,3640.0,215.0,4.945,45.029,1925.0,2350.0,670.0,-425.0
6,6000,1000,284.0,8.761,49.568,23795.0,24210.0,4560.0,-415.0,10.97,46.866,4710.0,5340.0,920.0,-630.0
7,7000,1000,213.0,8.519,49.913,27175.0,27270.0,5190.0,-95.0,7.07,52.484,3380.0,3060.0,630.0,320.0
8,8000,1000,219.0,8.528,49.868,31155.0,31320.0,5750.0,-165.0,8.59,49.564,3980.0,4050.0,560.0,-70.0
9,9000,1000,428.0,9.552,49.721,39240.0,39680.0,7050.0,-440.0,17.745,49.164,8085.0,8360.0,1300.0,-275.0
10,10000,1000,243.0,9.559,49.883,43635.0,43840.0,8120.0,-205.0,9.625,51.373,4395.0,4160.0,1070.0,235.0
11,11000,1000,221.0,9.581,49.362,47550.0,48780.0,9060.0,-1230.0,9.795,44.212,3915.0,4940.0,940.0,-1025.0
12,12000,1000,321.0,9.857,49.208,53275.0,54990.0,10020.0,-1715.0,12.895,47.968,5725.0,6210.0,960.0,-485.0
13,13000,1000,208.0,9.639,49.509,56685.0,57810.0,10810.0,-1125.0,7.02,54.735,3410.0,2820.0,790.0,590.0
14,14000,1000,185.0,9.45,49.907,60455.0,60680.0,11170.0,-225.0,7.0,56.777,3770.0,2870.0,360.0,900.0
15,15000,1000,225.0,9.355,50.187,64440.0,63960.0,11920.0,480.0,8.015,54.852,3985.0,3280.0,750.0,705.0
16,16000,1000,299.0,9.423,49.727,68745.0,69500.0,12530.0,-755.0,10.455,43.728,4305.0,5540.0,610.0,-1235.0
17,17000,1000,264.0,9.33,49.632,72200.0,73270.0,13140.0,-1070.0,7.835,47.82,3455.0,3770.0,610.0,-315.0
18,18000,1000,314.0,9.455,49.707,77535.0,78450.0,14200.0,-915.0,11.575,50.737,5335.0,5180.0,1060.0,155.0
19,19000,1000,131.0,9.184,49.753,79550.0,80340.0,14610.0,-790.0,4.315,51.601,2015.0,1890.0,410.0,125.0
20,20000,1000,214.0,9.062,49.916,82880.0,83160.0,15200.0,-280.0,6.74,54.146,3330.0,2820.0,590.0,510.0
21,21000,1000,152.0,8.824,49.86,84715.0,85190.0,15400.0,-475.0,4.065,47.477,1835.0,2030.0,200.0,-195.0
22,22000,1000,217.0,8.736,50.153,88460.0,87920.0,15810.0,540.0,6.885,57.838,3745.0,2730.0,410.0,1015.0
23,23000,1000,311.0,8.824,50.552,94135.0,92080.0,16740.0,2055.0,10.765,57.702,5675.0,4160.0,930.0,1515.0
24,24000,1000,251.0,8.715,50.52,96925.0,94930.0,17310.0,1995.0,6.21,49.468,2790.0,2850.0,570.0,-60.0
25,25000,1000,222.0,8.697,50.937,101650.0,97910.0,17860.0,3740.0,8.255,61.324,4725.0,2980.0,550.0,1745.0
26,26000,1000,230.0,8.618,50.969,104805.0,100820.0,18450.0,3985.0,6.655,52.02,3155.0,2910.0,590.0,245.0
27,27000,1000,208.0,8.534,50.88,107455.0,103740.0,19210.0,3715.0,6.33,47.576,2650.0,2920.0,760.0,-270.0
28,28000,1000,225.0,8.567,50.833,111620.0,107960.0,20290.0,3660.0,9.465,49.672,4165.0,4220.0,1080.0,-55.0
29,29000,1000,189.0,8.489,50.878,114575.0,110620.0,21000.0,3955.0,6.325,52.627,2955.0,2660.0,710.0,295.0
30,30000,1000,301.0,8.577,50.855,119550.0,115530.0,22230.0,4020.0,11.115,50.329,4975.0,4910.0,1230.0,65.0
31,31000,1000,283.0,8.597,51.215,124580.0,118670.0,23250.0,5910.0,9.19,61.567,5030.0,3140.0,1020.0,1890.0
32,32000,1000,218.0,8.582,51.113,128080.0,122500.0,24030.0,5580.0,8.11,47.749,3500.0,3830.0,780.0,-330.0
33,33000,1000,190.0,8.534,51.19,131525.0,125410.0,24700.0,6115.0,7.025,54.209,3445.0,2910.0,670.0,535.0
34,34000,1000,307.0,8.658,50.786,136350.0,132130.0,25880.0,4220.0,12.725,41.793,4825.0,6720.0,1180.0,-1895.0
35,35000,1000,300.0,8.815,50.596,142230.0,138880.0,27430.0,3350.0,14.18,46.556,5880.0,6750.0,1550.0,-870.0
36,36000,1000,197.0,8.7,50.604,144315.0,140870.0,28030.0,3445.0,4.675,51.166,2085.0,1990.0,600.0,95.0
37,37000,1000,224.0,8.648,50.523,147195.0,144150.0,28620.0,3045.0,6.75,46.753,2880.0,3280.0,590.0,-400.0
38,38000,1000,232.0,8.619,50.669,150990.0,147000.0,29520.0,3990.0,7.545,57.111,3795.0,2850.0,900.0,945.0
39,39000,1000,215.0,8.626,50.608,155005.0,151280.0,30120.0,3725.0,8.895,48.403,4015.0,4280.0,600.0,-265.0
40,40000,1000,213.0,8.631,50.48,158670.0,155650.0,30910.0,3020.0,8.825,45.613,3665.0,4370.0,790.0,-705.0
41,41000,1000,258.0,8.61,50.438,162165.0,159350.0,31500.0,2815.0,7.785,48.575,3495.0,3700.0,590.0,-205.0
42,42000,1000,206.0,8.55,50.394,164860.0,162280.0,31980.0,2580.0,6.105,47.911,2695.0,2930.0,480.0,-235.0
43,43000,1000,240.0,8.514,50.59,168765.0,164830.0,32490.0,3935.0,6.965,60.496,3905.0,2550.0,510.0,1355.0
44,44000,1000,300.0,8.607,50.711,175090.0,170180.0,33430.0,4910.0,12.615,54.176,6325.0,5350.0,940.0,975.0
45,45000,1000,237.0,8.65,50.639,179500.0,174970.0,34780.0,4530.0,10.55,47.935,4410.0,4790.0,1350.0,-380.0
46,46000,1000,231.0,8.582,50.606,181940.0,177580.0,35260.0,4360.0,5.53,48.317,2440.0,2610.0,480.0,-170.0
47,47000,1000,182.0,8.527,50.695,185065.0,179990.0,35730.0,5075.0,6.005,56.459,3125.0,2410.0,470.0,715.0
48,48000,1000,288.0,8.559,50.747,189860.0,184270.0,36680.0,5590.0,10.025,52.837,4795.0,4280.0,950.0,515.0
49,49000,1000,320.0,8.614,50.897,195585.0,188690.0,37800.0,6895.0,11.265,56.432,5725.0,4420.0,1120.0,1305.0
50,50000,1000,231.0,8.591,50.861,198975.0,192240.0,38340.0,6735.0,7.48,48.847,3390.0,3550.0,540.0,-160.0
51,51000,1000,220.0,8.623,50.695,203130.0,197560.0,39100.0,5570.0,10.235,43.852,4155.0,5320.0,760.0,-1165.0
52,52000,1000,313.0,8.653,50.573,207455.0,202750.0,39770.0,4705.0,10.185,45.455,4325.0,5190.0,670.0,-865.0
53,53000,1000,196.0,8.616,50.56,210475.0,205810.0,40340.0,4665.0,6.65,49.671,3020.0,3060.0,570.0,-40.0
54,54000,1000,262.0,8.656,50.505,215275.0,210970.0,41160.0,4305.0,10.78,48.193,4800.0,5160.0,820.0,-360.0
55,55000,1000,252.0,8.666,50.548,219715.0,214950.0,41960.0,4765.0,9.22,52.732,4440.0,3980.0,800.0,460.0
56,56000,1000,323.0,8.725,50.544,225250.0,220400.0,42960.0,4850.0,11.985,50.387,5535.0,5450.0,1000.0,85.0
57,57000,1000,236.0,8.722,50.602,229580.0,224120.0,43470.0,5460.0,8.56,53.789,4330.0,3720.0,510.0,610.0
58,58000,1000,256.0,8.721,50.549,233380.0,228310.0,44130.0,5070.0,8.65,47.559,3800.0,4190.0,660.0,-390.0
59,59000,1000,214.0,8.706,50.54,236685.0,231630.0,45340.0,5055.0,7.835,49.887,3305.0,3320.0,1210.0,-15.0
60,60000,1000,209.0,8.686,50.532,240245.0,235190.0,45750.0,5055.0,7.53,50.0,3560.0,3560.0,410.0,0.0
61,61000,1000,276.0,8.721,50.586,245610.0,239920.0,46480.0,5690.0,10.825,53.145,5365.0,4730.0,730.0,635.0
62,62000,1000,193.0,8.703,50.706,249610.0,242660.0,47340.0,6950.0,7.6,59.347,4000.0,2740.0,860.0,1260.0
63,63000,1000,274.0,8.701,50.77,253730.0,246030.0,48400.0,7700.0,8.55,55.007,4120.0,3370.0,1060.0,750.0
64,64000,1000,143.0,8.632,50.748,255665.0,248130.0,48640.0,7535.0,4.275,47.955,1935.0,2100.0,240.0,-165.0
65,65000,1000,329.0,8.714,50.751,262365.0,254600.0,49460.0,7765.0,13.99,50.873,6700.0,6470.0,820.0,230.0
66,66000,1000,218.0,8.688,50.75,265615.0,257760.0,50060.0,7855.0,7.01,50.702,3250.0,3160.0,600.0,90.0
67,67000,1000,274.0,8.695,50.782,270000.0,261680.0,50900.0,8320.0,9.145,52.8,4385.0,3920.0,840.0,465.0
68,68000,1000,142.0,8.653,50.895,273315.0,263700.0,51360.0,9615.0,5.795,62.137,3315.0,2020.0,460.0,1295.0
69,69000,1000,290.0,8.697,50.896,278775.0,268960.0,52390.0,9815.0,11.75,50.933,5460.0,5260.0,1030.0,200.0
