Session ID,Cumulative Games,Games Simulated in Session,Games Played in Session,Lifetime Avg Bet (Xbase),Lifetime winrate (W/L x(Base)),Lifetime Amount won (Xbase),Lifetime Amount loss (Xbase),Lifetime Amount push (Xbase),Lifetime Net Gain/Loss (Xbase),Session Avg Bet (Xbase),Session winrate (W/L x(Base)),Session Amount won (Xbase),Session Amount loss (Xbase),Session Amount push (Xbase),Session Net Gain/Loss (Xbase)
1,1000,1000,556.0,33.075,49.449,15035.0,15370.0,2670.0,-335.0,33.075,49.449,15035.0,15370.0,2670.0,-335.0
2,2000,1000,547.0,30.538,49.262,27885.0,28720.0,4470.0,-835.0,28.0,49.046,12850.0,13350.0,1800.0,-500.0
3,3000,1000,658.0,35.328,49.234,48355.0,49860.0,7770.0,-1505.0,44.91,49.195,20470.0,21140.0,3300.0,-670.0
4,4000,1000,589.0,34.462,50.286,64260.0,63530.0,10060.0,730.0,31.865,53.779,15905.0,13670.0,2290.0,2235.0
5,5000,1000,547.0,33.91,49.531,77560.0,79030.0,12960.0,-1470.0,31.7,46.181,13300.0,15500.0,2900.0,-2200.0
6,6000,1000,476.0,32.906,48.333,87795.0,93850.0,15790.0,-6055.0,27.885,40.85,10235.0,14820.0,2830.0,-4585.0
7,7000,1000,575.0,33.334,49.296,105485.0,108500.0,19350.0,-3015.0,35.9,54.7,17690.0,14650.0,3560.0,3040.0
8,8000,1000,566.0,33.949,49.388,123175.0,126230.0,22190.0,-3055.0,38.26,49.944,17690.0,17730.0,2840.0,-40.0
9,9000,1000,577.0,33.668,49.702,138225.0,139880.0,24910.0,-1655.0,31.42,52.439,15050.0,13650.0,2720.0,1400.0
10,10000,1000,589.0,33.651,49.327,152110.0,156260.0,28140.0,-4150.0,33.495,45.878,13885.0,16380.0,3230.0,-2495.0
11,11000,1000,613.0,33.464,49.932,168400.0,168860.0,30840.0,-460.0,31.59,56.386,16290.0,12600.0,2700.0,3690.0
12,12000,1000,514.0,33.166,50.036,182625.0,182360.0,33010.0,265.0,29.895,51.307,14225.0,13500.0,2170.0,725.0
13,13000,1000,593.0,33.183,50.056,198125.0,197680.0,35570.0,445.0,33.38,50.292,15500.0,15320.0,2560.0,180.0
14,14000,1000,589.0,33.128,50.161,213890.0,212520.0,37380.0,1370.0,32.415,51.511,15765.0,14840.0,1810.0,925.0
15,15000,1000,649.0,33.585,50.175,232595.0,230970.0,40210.0,1625.0,39.985,50.343,18705.0,18450.0,2830.0,255.0
16,16000,1000,637.0,33.696,50.049,248510.0,248020.0,42610.0,490.0,35.365,48.278,15915.0,17050.0,2400.0,-1135.0
17,17000,1000,581.0,33.576,49.751,261220.0,263840.0,45740.0,-2620.0,31.66,44.55,12710.0,15820.0,3130.0,-3110.0
18,18000,1000,545.0,33.271,50.02,275030.0,274810.0,49030.0,220.0,28.07,55.73,13810.0,10970.0,3290.0,2840.0
19,19000,1000,585.0,33.2,50.04,289505.0,289040.0,52260.0,465.0,31.935,50.427,14475.0,14230.0,3230.0,245.0
20,20000,1000,569.0,33.143,50.083,304545.0,303530.0,54780.0,1015.0,32.05,50.931,15040.0,14490.0,2520.0,550.0
21,21000,1000,576.0,33.05,49.934,317910.0,318750.0,57400.0,-840.0,31.205,46.755,13365.0,15220.0,2620.0,-1855.0
22,22000,1000,514.0,32.928,49.98,332075.0,332340.0,60000.0,-265.0,30.355,51.036,14165.0,13590.0,2600.0,575.0
23,23000,1000,591.0,32.985,50.009,347945.0,347820.0,62880.0,125.0,34.23,50.622,15870.0,15480.0,2880.0,390.0
24,24000,1000,699.0,33.461,50.047,368235.0,367550.0,67280.0,685.0,44.42,50.7,20290.0,19730.0,4400.0,560.0
25,25000,1000,584.0,33.433,50.011,383025.0,382850.0,69950.0,175.0,32.76,49.153,14790.0,15300.0,2670.0,-510.0
26,26000,1000,518.0,33.246,49.933,395255.0,396310.0,72840.0,-1055.0,28.58,47.606,12230.0,13460.0,2890.0,-1230.0
