Session ID,Cumulative Games,Games Simulated in Session,Games Played in Session,Lifetime Avg Bet (Xbase),Lifetime winrate (W/L x(Base)),Lifetime Amount won (Xbase),Lifetime Amount loss (Xbase),Lifetime Amount push (Xbase),Lifetime Net Gain/Loss (Xbase),Session Avg Bet (Xbase),Session winrate (W/L x(Base)),Session Amount won (Xbase),Session Amount loss (Xbase),Session Amount push (Xbase),Session Net Gain/Loss (Xbase)
1,1000,1000,289.0,9.585,47.69,3975.0,4360.0,1250.0,-385.0,9.585,47.69,3975.0,4360.0,1250.0,-385.0
2,2000,1000,266.0,10.408,49.96,9465.0,9480.0,1870.0,-15.0,11.23,51.744,5490.0,5120.0,620.0,370.0
3,3000,1000,277.0,11.482,50.727,15865.0,15410.0,3170.0,455.0,13.63,51.906,6400.0,5930.0,1300.0,470.0
4,4000,1000,223.0,10.165,51.15,18900.0,18050.0,3710.0,850.0,6.215,53.48,3035.0,2640.0,540.0,395.0
5,5000,1000,220.0,9.628,51.24,22310.0,21230.0,4600.0,1080.0,7.48,51.745,3410.0,3180.0,890.0,230.0
6,6000,1000,243.0,9.838,51.155,27135.0,25910.0,5980.0,1225.0,10.885,50.763,4825.0,4680.0,1380.0,145.0
7,7000,1000,265.0,9.838,50.809,31575.0,30570.0,6720.0,1005.0,9.84,48.791,4440.0,4660.0,740.0,-220.0
8,8000,1000,286.0,10.192,49.793,36635.0,36940.0,7960.0,-305.0,12.67,44.269,5060.0,6370.0,1240.0,-1310.0
9,9000,1000,276.0,10.302,50.493,42275.0,41450.0,8990.0,825.0,11.18,55.567,5640.0,4510.0,1030.0,1130.0
10,10000,1000,223.0,9.91,50.212,44980.0,44600.0,9520.0,380.0,6.385,46.2,2705.0,3150.0,530.0,-445.0
11,11000,1000,188.0,9.618,50.259,48075.0,47580.0,10140.0,495.0,6.695,50.947,3095.0,2980.0,620.0,115.0
12,12000,1000,251.0,9.616,49.909,52010.0,52200.0,11180.0,-190.0,9.595,45.996,3935.0,4620.0,1040.0,-685.0
13,13000,1000,245.0,9.446,49.804,55225.0,55660.0,11910.0,-435.0,7.405,48.165,3215.0,3460.0,730.0,-245.0
14,14000,1000,231.0,9.401,49.558,58900.0,59950.0,12770.0,-1050.0,8.825,46.139,3675.0,4290.0,860.0,-615.0
15,15000,1000,340.0,9.681,49.262,64750.0,66690.0,13780.0,-1940.0,13.6,46.465,5850.0,6740.0,1010.0,-890.0
16,16000,1000,297.0,9.767,49.583,70190.0,71370.0,14710.0,-1180.0,11.05,53.755,5440.0,4680.0,930.0,760.0
17,17000,1000,297.0,9.768,49.605,74660.0,75850.0,15540.0,-1190.0,9.78,49.944,4470.0,4480.0,830.0,-10.0
18,18000,1000,198.0,9.58,49.651,77620.0,78710.0,16110.0,-1090.0,6.39,50.859,2960.0,2860.0,570.0,100.0
19,19000,1000,273.0,9.703,49.882,83145.0,83540.0,17670.0,-395.0,11.915,53.356,5525.0,4830.0,1560.0,695.0
20,20000,1000,285.0,9.826,50.196,89440.0,88740.0,18340.0,700.0,12.165,54.763,6295.0,5200.0,670.0,1095.0
21,21000,1000,261.0,9.821,49.981,93590.0,93660.0,19000.0,-70.0,9.73,45.755,4150.0,4920.0,660.0,-770.0
22,22000,1000,275.0,9.787,50.175,98065.0,97380.0,19860.0,685.0,9.055,54.606,4475.0,3720.0,860.0,755.0
23,23000,1000,251.0,9.782,50.136,102405.0,101850.0,20720.0,555.0,9.67,49.262,4340.0,4470.0,860.0,-130.0
24,24000,1000,270.0,9.663,50.166,105680.0,104980.0,21250.0,700.0,6.935,51.132,3275.0,3130.0,530.0,145.0
25,25000,1000,230.0,9.587,50.433,109885.0,108000.0,21800.0,1885.0,7.775,58.201,4205.0,3020.0,550.0,1185.0
26,26000,1000,284.0,9.543,50.334,113565.0,112060.0,22480.0,1505.0,8.42,47.545,3680.0,4060.0,680.0,-380.0
27,27000,1000,438.0,9.861,49.83,120655.0,121480.0,24110.0,-825.0,18.14,42.944,7090.0,9420.0,1630.0,-2330.0
28,28000,1000,210.0,9.768,49.684,123480.0,125050.0,24960.0,-1570.0,7.245,44.175,2825.0,3570.0,850.0,-745.0
29,29000,1000,189.0,9.677,49.689,126765.0,128350.0,25530.0,-1585.0,7.155,49.886,3285.0,3300.0,570.0,-15.0
30,30000,1000,320.0,9.717,49.849,132220.0,133020.0,26270.0,-800.0,10.865,53.877,5455.0,4670.0,740.0,785.0
31,31000,1000,253.0,9.683,49.952,136430.0,136690.0,27060.0,-260.0,8.67,53.426,4210.0,3670.0,790.0,540.0
32,32000,1000,256.0,9.699,49.68,140265.0,142070.0,28040.0,-1805.0,10.195,41.617,3835.0,5380.0,980.0,-1545.0
33,33000,1000,223.0,9.706,49.583,144480.0,146910.0,28920.0,-2430.0,9.935,46.549,4215.0,4840.0,880.0,-625.0
34,34000,1000,266.0,9.722,49.497,148795.0,151820.0,29930.0,-3025.0,10.235,46.775,4315.0,4910.0,1010.0,-595.0
35,35000,1000,251.0,9.77,49.63,154350.0,156650.0,30950.0,-2300.0,11.405,53.491,5555.0,4830.0,1020.0,725.0
36,36000,1000,116.0,9.617,49.683,156540.0,158540.0,31140.0,-2000.0,4.27,53.676,2190.0,1890.0,190.0,300.0
37,37000,1000,153.0,9.533,49.618,159325.0,161780.0,31630.0,-2455.0,6.515,46.224,2785.0,3240.0,490.0,-455.0
38,38000,1000,282.0,9.602,49.737,165205.0,166950.0,32720.0,-1745.0,12.14,53.213,5880.0,5170.0,1090.0,710.0
39,39000,1000,348.0,9.641,49.687,169910.0,172050.0,34020.0,-2140.0,11.105,47.986,4705.0,5100.0,1300.0,-395.0
40,40000,1000,313.0,9.667,49.796,175175.0,176610.0,34910.0,-1435.0,10.715,53.588,5265.0,4560.0,890.0,705.0
41,41000,1000,257.0,9.66,49.796,179410.0,180880.0,35790.0,-1470.0,9.385,49.794,4235.0,4270.0,880.0,-35.0
42,42000,1000,252.0,9.631,49.652,182750.0,185310.0,36430.0,-2560.0,8.41,42.986,3340.0,4430.0,640.0,-1090.0
43,43000,1000,297.0,9.695,49.535,188195.0,191730.0,36980.0,-3535.0,12.415,45.891,5445.0,6420.0,550.0,-975.0
44,44000,1000,329.0,9.832,49.365,194495.0,199500.0,38620.0,-5005.0,15.71,44.776,6300.0,7770.0,1640.0,-1470.0
45,45000,1000,356.0,9.973,49.549,202425.0,206110.0,40250.0,-3685.0,16.17,54.539,7930.0,6610.0,1630.0,1320.0
46,46000,1000,240.0,9.949,49.564,206415.0,210050.0,41210.0,-3635.0,8.89,50.315,3990.0,3940.0,960.0,50.0
47,47000,1000,280.0,9.945,49.623,211260.0,214470.0,41670.0,-3210.0,9.725,52.294,4845.0,4420.0,460.0,425.0
48,48000,1000,272.0,9.927,49.674,215630.0,218460.0,42410.0,-2830.0,9.1,52.273,4370.0,3990.0,740.0,380.0
49,49000,1000,274.0,9.945,49.687,220490.0,223270.0,43560.0,-2780.0,10.82,50.259,4860.0,4810.0,1150.0,50.0
50,50000,1000,273.0,9.983,49.808,226540.0,228290.0,44330.0,-1750.0,11.84,54.652,6050.0,5020.0,770.0,1030.0
51,51000,1000,368.0,10.087,50.008,234605.0,234530.0,45320.0,75.0,15.295,56.379,8065.0,6240.0,990.0,1825.0
52,52000,1000,337.0,10.211,49.881,241395.0,242550.0,47010.0,-1155.0,16.5,45.847,6790.0,8020.0,1690.0,-1230.0
53,53000,1000,176.0,10.115,49.892,243760.0,244820.0,47540.0,-1060.0,5.165,51.025,2365.0,2270.0,530.0,95.0
54,54000,1000,313.0,10.134,49.884,248780.0,249940.0,48530.0,-1160.0,11.13,49.507,5020.0,5120.0,990.0,-100.0
55,55000,1000,228.0,10.122,49.894,253210.0,254290.0,49210.0,-1080.0,9.46,50.456,4430.0,4350.0,680.0,80.0
56,56000,1000,197.0,10.078,49.908,256875.0,257820.0,49700.0,-945.0,7.685,50.938,3665.0,3530.0,490.0,135.0
57,57000,1000,177.0,10.006,49.969,259915.0,260240.0,50170.0,-325.0,5.93,55.678,3040.0,2420.0,470.0,620.0
58,58000,1000,268.0,10.012,49.945,264490.0,265070.0,51160.0,-580.0,10.395,48.644,4575.0,4830.0,990.0,-255.0
59,59000,1000,229.0,9.963,49.852,267260.0,268850.0,51710.0,-1590.0,7.1,42.29,2770.0,3780.0,550.0,-1010.0
60,60000,1000,316.0,9.955,49.923,271960.0,272800.0,52530.0,-840.0,9.47,54.335,4700.0,3950.0,820.0,750.0
61,61000,1000,312.0,10.021,49.896,278240.0,279400.0,53670.0,-1160.0,14.02,48.758,6280.0,6600.0,1140.0,-320.0
62,62000,1000,219.0,9.977,49.956,281815.0,282310.0,54440.0,-495.0,7.255,55.127,3575.0,2910.0,770.0,665.0
63,63000,1000,309.0,10.009,50.09,288125.0,287090.0,55330.0,1035.0,11.98,56.898,6310.0,4780.0,890.0,1530.0
64,64000,1000,329.0,10.068,50.027,294050.0,293730.0,56560.0,320.0,13.795,47.155,5925.0,6640.0,1230.0,-715.0
65,65000,1000,260.0,10.097,50.002,299060.0,299040.0,58190.0,20.0,11.95,48.547,5010.0,5310.0,1630.0,-300.0
66,66000,1000,192.0,10.056,49.962,302095.0,302560.0,59050.0,-465.0,7.415,46.301,3035.0,3520.0,860.0,-485.0
67,67000,1000,246.0,10.05,49.931,306280.0,307130.0,59960.0,-850.0,9.665,47.801,4185.0,4570.0,910.0,-385.0
68,68000,1000,270.0,10.031,49.934,310285.0,311100.0,60700.0,-815.0,8.715,50.219,4005.0,3970.0,740.0,35.0
69,69000,1000,313.0,10.034,49.986,315365.0,315540.0,61460.0,-175.0,10.28,53.361,5080.0,4440.0,760.0,640.0
70,70000,1000,305.0,10.063,50.025,320920.0,320600.0,62870.0,320.0,12.025,52.332,5555.0,5060.0,1410.0,495.0
71,71000,1000,265.0,10.077,50.093,326390.0,325180.0,63870.0,1210.0,11.05,54.428,5470.0,4580.0,1000.0,890.0
