Session ID,Cumulative Games,Games Simulated in Session,Games Played in Session,Lifetime Avg Bet (Xbase),Lifetime winrate (W/L x(Base)),Lifetime Amount won (Xbase),Lifetime Amount loss (Xbase),Lifetime Amount push (Xbase),Lifetime Net Gain/Loss (Xbase),Session Avg Bet (Xbase),Session winrate (W/L x(Base)),Session Amount won (Xbase),Session Amount loss (Xbase),Session Amount push (Xbase),Session Net Gain/Loss (Xbase)
1,1000,1000,282.0,9.83,53.251,4750.0,4170.0,910.0,580.0,9.83,53.251,4750.0,4170.0,910.0,580.0
2,2000,1000,372.0,14.242,49.971,13055.0,13070.0,2360.0,-15.0,18.655,48.271,8305.0,8900.0,1450.0,-595.0
3,3000,1000,229.0,12.875,48.505,17115.0,18170.0,3340.0,-1055.0,10.14,44.323,4060.0,5100.0,980.0,-1040.0
4,4000,1000,237.0,11.857,48.238,20810.0,22330.0,4290.0,-1520.0,8.805,47.04,3695.0,4160.0,950.0,-465.0
5,5000,1000,361.0,12.83,48.204,28180.0,30280.0,5690.0,-2100.0,16.72,48.107,7370.0,7950.0,1400.0,-580.0
6,6000,1000,321.0,12.588,48.478,33450.0,35550.0,6530.0,-2100.0,11.38,50.0,5270.0,5270.0,840.0,0.0
7,7000,1000,254.0,12.141,48.798,37855.0,39720.0,7410.0,-1865.0,9.455,51.37,4405.0,4170.0,880.0,235.0
8,8000,1000,290.0,12.402,50.111,44990.0,44790.0,9440.0,200.0,14.235,58.46,7135.0,5070.0,2030.0,2065.0
9,9000,1000,309.0,12.414,50.296,50950.0,50350.0,10430.0,600.0,12.51,51.736,5960.0,5560.0,990.0,400.0
10,10000,1000,218.0,11.876,50.177,54010.0,53630.0,11120.0,380.0,7.03,48.265,3060.0,3280.0,690.0,-220.0
11,11000,1000,297.0,11.78,50.436,59235.0,58210.0,12130.0,1025.0,10.815,53.289,5225.0,4580.0,1010.0,645.0
12,12000,1000,335.0,12.133,50.296,66280.0,65500.0,13810.0,780.0,16.015,49.145,7045.0,7290.0,1680.0,-245.0
13,13000,1000,227.0,11.808,50.34,69985.0,69040.0,14480.0,945.0,7.915,51.139,3705.0,3540.0,670.0,165.0
14,14000,1000,396.0,12.096,50.29,77110.0,76220.0,16010.0,890.0,15.835,49.808,7125.0,7180.0,1530.0,-55.0
15,15000,1000,323.0,11.992,49.956,81655.0,81800.0,16430.0,-145.0,10.545,44.889,4545.0,5580.0,420.0,-1035.0
16,16000,1000,286.0,12.017,50.167,87665.0,87080.0,17520.0,585.0,12.38,53.233,6010.0,5280.0,1090.0,730.0
17,17000,1000,337.0,12.198,50.246,94940.0,94010.0,18410.0,930.0,15.095,51.214,7275.0,6930.0,890.0,345.0
18,18000,1000,287.0,12.145,50.139,99965.0,99410.0,19230.0,555.0,11.245,48.201,5025.0,5400.0,820.0,-375.0
19,19000,1000,316.0,12.109,50.143,105450.0,104850.0,19780.0,600.0,11.475,50.206,5485.0,5440.0,550.0,45.0
20,20000,1000,262.0,12.01,50.339,110700.0,109210.0,20290.0,1490.0,10.12,54.631,5250.0,4360.0,510.0,890.0
21,21000,1000,210.0,11.84,50.347,114620.0,113040.0,20970.0,1580.0,8.43,50.581,3920.0,3830.0,680.0,90.0
22,22000,1000,301.0,11.787,50.383,119495.0,117680.0,22150.0,1815.0,10.695,51.235,4875.0,4640.0,1180.0,235.0
23,23000,1000,323.0,11.97,50.532,127330.0,124650.0,23320.0,2680.0,15.975,52.921,7835.0,6970.0,1170.0,865.0
24,24000,1000,245.0,11.881,50.413,131435.0,129280.0,24440.0,2155.0,9.855,46.995,4105.0,4630.0,1120.0,-525.0
25,25000,1000,370.0,12.074,50.466,139300.0,136730.0,25810.0,2570.0,16.685,51.355,7865.0,7450.0,1370.0,415.0
26,26000,1000,299.0,12.127,50.462,145695.0,143030.0,26570.0,2665.0,13.455,50.374,6395.0,6300.0,760.0,95.0
27,27000,1000,179.0,11.955,50.458,149135.0,146430.0,27210.0,2705.0,7.48,50.292,3440.0,3400.0,640.0,40.0
28,28000,1000,300.0,12.064,50.81,157205.0,152190.0,28410.0,5015.0,15.03,58.351,8070.0,5760.0,1200.0,2310.0
29,29000,1000,282.0,12.091,50.881,163510.0,157850.0,29280.0,5660.0,12.835,52.695,6305.0,5660.0,870.0,645.0
30,30000,1000,317.0,12.085,50.963,169310.0,162910.0,30320.0,6400.0,11.9,53.407,5800.0,5060.0,1040.0,740.0
31,31000,1000,351.0,12.283,51.272,178970.0,170090.0,31720.0,8880.0,18.24,57.363,9660.0,7180.0,1400.0,2480.0
