Session ID,Cumulative Games,Games Simulated in Session,Games Played in Session,Lifetime Avg Bet (Xbase),Lifetime winrate (W/L x(Base)),Lifetime Amount won (Xbase),Lifetime Amount loss (Xbase),Lifetime Amount push (Xbase),Lifetime Net Gain/Loss (Xbase),Session Avg Bet (Xbase),Session winrate (W/L x(Base)),Session Amount won (Xbase),Session Amount loss (Xbase),Session Amount push (Xbase),Session Net Gain/Loss (Xbase)
1,1000,1000,545.0,38.13,51.566,18440.0,17320.0,2370.0,1120.0,38.13,51.566,18440.0,17320.0,2370.0,1120.0
2,2000,1000,539.0,36.565,51.652,34540.0,32330.0,6260.0,2210.0,35.0,51.752,16100.0,15010.0,3890.0,1090.0
3,3000,1000,495.0,36.713,50.891,51390.0,49590.0,9160.0,1800.0,37.01,49.399,16850.0,17260.0,2900.0,-410.0
4,4000,1000,639.0,39.2,49.308,70910.0,72900.0,12990.0,-1990.0,46.66,45.576,19520.0,23310.0,3830.0,-3790.0
5,5000,1000,528.0,38.566,48.861,86240.0,90260.0,16330.0,-4020.0,36.03,46.895,15330.0,17360.0,3340.0,-2030.0
6,6000,1000,560.0,38.73,48.554,102940.0,109070.0,20370.0,-6130.0,39.55,47.029,16700.0,18810.0,4040.0,-2110.0
7,7000,1000,531.0,38.489,48.772,120005.0,126050.0,23370.0,-6045.0,37.045,50.125,17065.0,16980.0,3000.0,85.0
8,8000,1000,529.0,38.385,48.048,134640.0,145580.0,26860.0,-10940.0,37.655,42.836,14635.0,19530.0,3490.0,-4895.0
9,9000,1000,518.0,37.971,47.39,148250.0,164580.0,28910.0,-16330.0,34.66,41.736,13610.0,19000.0,2050.0,-5390.0
10,10000,1000,478.0,37.385,47.243,161850.0,180740.0,31260.0,-18890.0,32.11,45.699,13600.0,16160.0,2350.0,-2560.0
11,11000,1000,634.0,37.491,47.381,179025.0,198820.0,34560.0,-19795.0,38.555,48.716,17175.0,18080.0,3300.0,-905.0
12,12000,1000,608.0,37.648,47.693,197080.0,216150.0,38550.0,-19070.0,39.375,51.024,18055.0,17330.0,3990.0,725.0
