Session ID,Cumulative Games,Games Simulated in Session,Games Played in Session,Lifetime Avg Bet (Xbase),Lifetime winrate (W/L x(Base)),Lifetime Amount won (Xbase),Lifetime Amount loss (Xbase),Lifetime Amount push (Xbase),Lifetime Net Gain/Loss (Xbase),Session Avg Bet (Xbase),Session winrate (W/L x(Base)),Session Amount won (Xbase),Session Amount loss (Xbase),Session Amount push (Xbase),Session Net Gain/Loss (Xbase)
1,1000,1000,960.0,709.25,51.786,329890.0,307140.0,72220.0,22750.0,709.25,51.786,329890.0,307140.0,72220.0,22750.0
2,2000,1000,960.0,720.0,50.862,665850.0,643290.0,130860.0,22560.0,730.75,49.986,335960.0,336150.0,58640.0,-190.0
3,3000,1000,962.0,724.053,48.858,971440.0,1016850.0,183870.0,-45410.0,732.16,44.996,305590.0,373560.0,53010.0,-67970.0
4,4000,1000,969.0,724.477,49.117,1309370.0,1356430.0,232110.0,-47060.0,725.75,49.878,337930.0,339580.0,48240.0,-1650.0
5,5000,1000,975.0,727.839,49.416,1655095.0,1694190.0,289910.0,-39095.0,741.285,50.583,345725.0,337760.0,57800.0,7965.0
6,6000,1000,964.0,728.104,48.977,1969105.0,2051360.0,348160.0,-82255.0,729.43,46.785,314010.0,357170.0,58250.0,-43160.0
7,7000,1000,968.0,726.077,49.002,2287710.0,2380860.0,413970.0,-93150.0,713.915,49.159,318605.0,329500.0,65810.0,-10895.0
8,8000,1000,965.0,727.087,48.485,2585905.0,2747540.0,483250.0,-161635.0,734.155,44.85,298195.0,366680.0,69280.0,-68485.0
9,9000,1000,971.0,728.041,48.761,2933440.0,3082560.0,536370.0,-149120.0,735.675,50.917,347535.0,335020.0,53120.0,12515.0
10,10000,1000,967.0,729.691,49.283,3305520.0,3401720.0,589670.0,-96200.0,744.54,53.828,372080.0,319160.0,53300.0,52920.0
11,11000,1000,967.0,732.795,49.381,3663915.0,3755810.0,641020.0,-91895.0,763.835,50.302,358395.0,354090.0,51350.0,4305.0
12,12000,1000,967.0,735.295,49.231,3998700.0,4123640.0,701200.0,-124940.0,762.795,47.648,334785.0,367830.0,60180.0,-33045.0
13,13000,1000,970.0,736.125,49.326,4345360.0,4464140.0,760120.0,-118780.0,746.08,50.448,346660.0,340500.0,58920.0,6160.0
14,14000,1000,968.0,736.927,49.332,4685285.0,4812220.0,819470.0,-126935.0,747.355,49.407,339925.0,348080.0,59350.0,-8155.0
15,15000,1000,968.0,735.995,49.303,5012825.0,5154550.0,872550.0,-141725.0,722.95,48.896,327540.0,342330.0,53080.0,-14790.0
16,16000,1000,970.0,736.334,49.15,5332930.0,5517420.0,931000.0,-184490.0,741.425,46.869,320105.0,362870.0,58450.0,-42765.0
17,17000,1000,966.0,736.967,49.031,5651765.0,5875170.0,1001500.0,-223405.0,747.085,47.124,318835.0,357750.0,70500.0,-38915.0
18,18000,1000,964.0,735.27,49.035,5973205.0,6208310.0,1053340.0,-235105.0,706.42,49.106,321440.0,333140.0,51840.0,-11700.0
19,19000,1000,965.0,734.562,49.133,6307395.0,6530020.0,1119270.0,-222625.0,721.83,50.951,334190.0,321710.0,65930.0,12480.0
20,20000,1000,968.0,734.252,49.049,6638675.0,6896100.0,1150260.0,-257425.0,728.35,47.505,331280.0,366080.0,30990.0,-34800.0
21,21000,1000,970.0,733.432,48.856,6934935.0,7259610.0,1207520.0,-324675.0,717.03,44.904,296260.0,363510.0,57260.0,-67250.0
