Session ID,Cumulative Games,Games Simulated in Session,Games Played in Session,Lifetime Avg Bet (Xbase),Lifetime winrate (W/L x(Base)),Lifetime Amount won (Xbase),Lifetime Amount loss (Xbase),Lifetime Amount push (Xbase),Lifetime Net Gain/Loss (Xbase),Session Avg Bet (Xbase),Session winrate (W/L x(Base)),Session Amount won (Xbase),Session Amount loss (Xbase),Session Amount push (Xbase),Session Net Gain/Loss (Xbase)
1,1000,1000,251.0,9.78,53.318,4660.0,4080.0,1040.0,580.0,9.78,53.318,4660.0,4080.0,1040.0,580.0
2,2000,1000,203.0,7.585,49.449,6730.0,6880.0,1560.0,-150.0,5.39,42.505,2070.0,2800.0,520.0,-730.0
3,3000,1000,294.0,8.142,50.375,11095.0,10930.0,2400.0,165.0,9.255,51.872,4365.0,4050.0,840.0,315.0
4,4000,1000,298.0,8.992,50.86,16560.0,16000.0,3410.0,560.0,11.545,51.875,5465.0,5070.0,1010.0,395.0
5,5000,1000,261.0,9.071,52.368,21615.0,19660.0,4080.0,1955.0,9.385,58.003,5055.0,3660.0,670.0,1395.0
6,6000,1000,243.0,9.688,52.42,27940.0,25360.0,4830.0,2580.0,12.775,52.599,6325.0,5700.0,750.0,625.0
7,7000,1000,403.0,10.561,50.702,34465.0,33510.0,5950.0,955.0,15.795,44.463,6525.0,8150.0,1120.0,-1625.0
8,8000,1000,248.0,10.382,49.681,37785.0,38270.0,7000.0,-485.0,9.13,41.089,3320.0,4760.0,1050.0,-1440.0
9,9000,1000,159.0,9.734,49.991,40105.0,40120.0,7380.0,-15.0,4.55,55.635,2320.0,1850.0,380.0,470.0
10,10000,1000,199.0,9.685,51.219,45390.0,43230.0,8230.0,2160.0,9.245,62.954,5285.0,3110.0,850.0,2175.0
11,11000,1000,204.0,9.304,51.126,47910.0,45800.0,8630.0,2110.0,5.49,49.509,2520.0,2570.0,400.0,-50.0
12,12000,1000,307.0,9.618,50.525,53460.0,52350.0,9610.0,1110.0,13.08,45.868,5550.0,6550.0,980.0,-1000.0
13,13000,1000,184.0,9.386,50.717,56785.0,55180.0,10050.0,1605.0,6.595,54.021,3325.0,2830.0,440.0,495.0
14,14000,1000,215.0,9.354,50.433,60580.0,59540.0,10830.0,1040.0,8.935,46.536,3795.0,4360.0,780.0,-565.0
15,15000,1000,220.0,9.31,50.565,64695.0,63250.0,11710.0,1445.0,8.705,52.588,4115.0,3710.0,880.0,405.0
16,16000,1000,229.0,9.207,50.53,68130.0,66700.0,12480.0,1430.0,7.655,49.891,3435.0,3450.0,770.0,-15.0
17,17000,1000,249.0,9.272,50.81,73195.0,70860.0,13570.0,2335.0,10.315,54.905,5065.0,4160.0,1090.0,905.0
18,18000,1000,274.0,9.501,49.946,77960.0,78130.0,14920.0,-170.0,13.385,39.593,4765.0,7270.0,1350.0,-2505.0
19,19000,1000,287.0,9.728,50.222,84720.0,83970.0,16140.0,750.0,13.82,53.651,6760.0,5840.0,1220.0,920.0
