Session ID,Cumulative Games,Games Simulated in Session,Lifetime Avg Bet (Xbase),Lifetime winrate (W/L x(Base)),Lifetime Amount won (Xbase),Lifetime Amount loss (Xbase),Lifetime Amount push (Xbase),Lifetime Net Gain/Loss (Xbase),Session Avg Bet (Xbase),Session winrate (W/L x(Base)),Session Amount won (Xbase),Session Amount loss (Xbase),Session Amount push (Xbase),Session Net Gain/Loss (Xbase),Session CI Left,Session CI Right,Lifetime CI Left,Lifetime CI Right,Lifetime Mean
1,1000,1000,1.161,49.601,528.500,537.000,95.000,-8.500,1.161,49.601,528.500,537.000,95.000,-8.500,0.000,0.000,0.000,0.000,49.601
2,2000,1000,1.167,51.255,1103.000,1049.000,182.000,54.000,1.173,52.876,574.500,512.000,87.000,62.500,30.432,72.045,39.920,60.936,50.428
3,3000,1000,1.161,50.955,1628.000,1567.000,287.000,61.000,1.148,50.336,525.000,518.000,105.000,7.000,46.669,55.206,48.415,52.793,50.604
4,4000,1000,1.163,50.462,2158.500,2119.000,375.000,39.500,1.171,49.007,530.500,552.000,88.000,-21.500,47.745,53.165,49.418,51.719,50.568
5,5000,1000,1.159,50.489,2687.000,2635.000,471.000,52.000,1.141,50.598,528.500,516.000,96.000,12.500,48.651,52.317,49.774,51.331,50.552
6,6000,1000,1.162,50.495,3241.500,3178.000,555.000,63.500,1.181,50.524,554.500,543.000,84.000,11.500,49.105,51.876,49.954,51.132,50.543
7,7000,1000,1.162,50.391,3768.500,3710.000,653.000,58.500,1.157,49.764,527.000,532.000,98.000,-5.000,49.243,51.530,50.044,50.998,50.521
8,8000,1000,1.161,50.314,4291.500,4238.000,762.000,53.500,1.160,49.762,523.000,528.000,109.000,-5.000,49.334,51.283,50.091,50.899,50.495
9,9000,1000,1.162,50.023,4799.500,4795.000,866.000,4.500,1.169,47.700,508.000,557.000,104.000,-49.000,48.947,51.091,50.075,50.811,50.443
10,10000,1000,1.161,49.899,5318.500,5340.000,954.000,-21.500,1.152,48.778,519.000,545.000,88.000,-26.000,48.913,50.876,50.043,50.734,50.388
11,11000,1000,1.159,49.795,5824.000,5872.000,1056.000,-48.000,1.139,48.723,505.500,532.000,102.000,-26.500,48.882,50.694,50.004,50.665,50.334
12,12000,1000,1.159,49.682,6335.000,6416.000,1155.000,-81.000,1.154,48.436,511.000,544.000,99.000,-33.000,48.821,50.529,49.959,50.601,50.280
13,13000,1000,1.157,49.618,6848.500,6954.000,1241.000,-105.500,1.137,48.835,513.500,538.000,86.000,-24.500,48.821,50.401,49.916,50.542,50.229
14,14000,1000,1.157,49.401,7335.000,7513.000,1347.000,-178.000,1.151,46.533,486.500,559.000,106.000,-72.500,48.524,50.258,49.856,50.484,50.170
15,15000,1000,1.157,49.385,7864.000,8060.000,1426.000,-196.000,1.155,49.164,529.000,547.000,79.000,-18.000,48.574,50.178,49.806,50.429,50.118
16,16000,1000,1.158,49.336,8380.500,8606.000,1538.000,-225.500,1.175,48.612,516.500,546.000,112.000,-29.500,48.576,50.081,49.761,50.376,50.069
17,17000,1000,1.159,49.352,8912.000,9146.000,1639.000,-234.000,1.173,49.603,531.500,540.000,101.000,-8.500,48.640,50.048,49.726,50.328,50.027
18,18000,1000,1.158,49.435,9445.000,9661.000,1733.000,-216.000,1.142,50.859,533.000,515.000,94.000,18.000,48.745,50.112,49.703,50.285,49.994
19,19000,1000,1.158,49.413,9962.500,10199.000,1834.000,-236.500,1.157,49.029,517.500,538.000,101.000,-20.500,48.762,50.053,49.682,50.245,49.963
20,20000,1000,1.159,49.533,10518.500,10717.000,1935.000,-198.500,1.175,51.769,556.000,518.000,101.000,38.000,48.867,50.184,49.672,50.211,49.942
21,21000,1000,1.159,49.633,11068.500,11232.000,2039.000,-163.500,1.169,51.643,550.000,515.000,104.000,35.000,48.968,50.285,49.670,50.184,49.927
22,22000,1000,1.159,49.476,11563.000,11808.000,2122.000,-245.000,1.153,46.193,494.500,576.000,83.000,-81.500,48.765,50.175,49.658,50.155,49.907
23,23000,1000,1.159,49.360,12066.000,12379.000,2209.000,-313.000,1.161,46.834,503.000,571.000,87.000,-68.000,48.643,50.068,49.641,50.125,49.883
24,24000,1000,1.159,49.499,12620.500,12876.000,2312.000,-255.500,1.155,52.734,554.500,497.000,103.000,57.500,48.756,50.237,49.633,50.100,49.867
25,25000,1000,1.158,49.517,13149.500,13406.000,2405.000,-256.500,1.152,49.953,529.000,530.000,93.000,-1.000,48.805,50.224,49.628,50.078,49.853
