Session ID,Cumulative Games,Games Simulated in Session,Games Played in Session,Lifetime Avg Bet (Xbase),Lifetime winrate (W/L x(Base)),Lifetime Amount won (Xbase),Lifetime Amount loss (Xbase),Lifetime Amount push (Xbase),Lifetime Net Gain/Loss (Xbase),Session Avg Bet (Xbase),Session winrate (W/L x(Base)),Session Amount won (Xbase),Session Amount loss (Xbase),Session Amount push (Xbase),Session Net Gain/Loss (Xbase)
1,1000,1000,124.0,0.235,41.766,87.5,122.0,26.0,-34.5,0.235,41.766,87.5,122.0,26.0,-34.5
2,2000,1000,150.0,0.309,46.586,269.5,309.0,40.0,-39.5,0.383,49.322,182.0,187.0,14.0,-5.0
3,3000,1000,244.0,0.405,47.284,531.0,592.0,93.0,-61.0,0.598,48.026,261.5,283.0,53.0,-21.5
4,4000,1000,80.0,0.358,47.806,632.0,690.0,110.0,-58.0,0.216,50.754,101.0,98.0,17.0,3.0
5,5000,1000,126.0,0.345,47.975,770.0,835.0,120.0,-65.0,0.293,48.763,138.0,145.0,10.0,-7.0
6,6000,1000,78.0,0.322,48.252,862.5,925.0,144.0,-62.5,0.206,50.685,92.5,90.0,24.0,2.5
7,7000,1000,181.0,0.335,47.622,1026.5,1129.0,187.0,-102.5,0.411,44.565,164.0,204.0,43.0,-40.0
8,8000,1000,85.0,0.312,48.322,1109.0,1186.0,204.0,-77.0,0.157,59.14,82.5,57.0,17.0,25.5
9,9000,1000,155.0,0.312,49.314,1275.5,1311.0,224.0,-35.5,0.311,57.118,166.5,125.0,20.0,41.5
10,10000,1000,154.0,0.321,49.25,1461.5,1506.0,242.0,-44.5,0.399,48.819,186.0,195.0,18.0,-9.0
11,11000,1000,81.0,0.307,49.365,1536.5,1576.0,260.0,-39.5,0.163,51.724,75.0,70.0,18.0,5.0
12,12000,1000,137.0,0.308,49.949,1707.5,1711.0,282.0,-3.5,0.328,55.882,171.0,135.0,22.0,36.0
13,13000,1000,181.0,0.314,50.306,1889.0,1866.0,325.0,23.0,0.38,53.938,181.5,155.0,43.0,26.5
14,14000,1000,139.0,0.318,50.611,2072.0,2022.0,358.0,50.0,0.372,53.982,183.0,156.0,33.0,27.0
15,15000,1000,166.0,0.322,50.592,2241.5,2189.0,397.0,52.5,0.376,50.371,169.5,167.0,39.0,2.5
16,16000,1000,184.0,0.328,50.721,2444.5,2375.0,436.0,69.5,0.428,52.185,203.0,186.0,39.0,17.0
17,17000,1000,130.0,0.33,50.526,2592.0,2538.0,476.0,54.0,0.35,47.504,147.5,163.0,40.0,-15.5
18,18000,1000,67.0,0.317,50.464,2639.5,2591.0,483.0,48.5,0.107,47.264,47.5,53.0,7.0,-5.5
19,19000,1000,123.0,0.317,49.855,2742.0,2758.0,526.0,-16.0,0.312,38.033,102.5,167.0,43.0,-64.5
20,20000,1000,102.0,0.313,50.07,2867.0,2859.0,539.0,8.0,0.239,55.31,125.0,101.0,13.0,24.0
21,21000,1000,132.0,0.308,50.03,2957.5,2954.0,556.0,3.5,0.203,48.787,90.5,95.0,17.0,-4.5
22,22000,1000,147.0,0.308,50.378,3128.0,3081.0,576.0,47.0,0.318,57.311,170.5,127.0,20.0,43.5
23,23000,1000,196.0,0.312,50.369,3314.5,3266.0,602.0,48.5,0.398,50.202,186.5,185.0,26.0,1.5
24,24000,1000,154.0,0.312,50.423,3457.0,3399.0,623.0,58.0,0.296,51.724,142.5,133.0,21.0,9.5
25,25000,1000,188.0,0.319,50.305,3667.5,3623.0,673.0,44.5,0.484,48.446,210.5,224.0,50.0,-13.5
26,26000,1000,160.0,0.318,50.317,3804.0,3756.0,704.0,48.0,0.3,50.649,136.5,133.0,31.0,3.5
27,27000,1000,131.0,0.317,50.173,3923.0,3896.0,733.0,27.0,0.288,45.946,119.0,140.0,29.0,-21.0
28,28000,1000,137.0,0.315,50.344,4056.5,4001.0,750.0,55.5,0.256,55.975,133.5,105.0,17.0,28.5
29,29000,1000,155.0,0.313,50.376,4184.5,4122.0,782.0,62.5,0.281,51.406,128.0,121.0,32.0,7.0
30,30000,1000,68.0,0.307,50.384,4227.5,4163.0,811.0,64.5,0.113,51.19,43.0,41.0,29.0,2.0
31,31000,1000,147.0,0.307,50.335,4355.0,4297.0,860.0,58.0,0.31,48.757,127.5,134.0,49.0,-6.5
32,32000,1000,127.0,0.309,50.292,4528.5,4476.0,881.0,52.5,0.373,49.22,173.5,179.0,21.0,-5.5
33,33000,1000,87.0,0.306,50.599,4648.0,4538.0,899.0,110.0,0.2,65.84,119.5,62.0,18.0,57.5
34,34000,1000,106.0,0.302,50.733,4739.0,4602.0,925.0,137.0,0.181,58.71,91.0,64.0,26.0,27.0
35,35000,1000,205.0,0.308,50.809,4975.5,4817.0,977.0,158.5,0.503,52.381,236.5,215.0,52.0,21.5
36,36000,1000,187.0,0.31,50.699,5147.0,5005.0,1025.0,142.0,0.407,47.705,171.5,188.0,48.0,-16.5
37,37000,1000,103.0,0.309,50.573,5250.0,5131.0,1037.0,119.0,0.241,44.978,103.0,126.0,12.0,-23.0
38,38000,1000,187.0,0.313,50.709,5485.5,5332.0,1069.0,153.5,0.469,53.952,235.5,201.0,32.0,34.5
39,39000,1000,115.0,0.311,50.691,5590.5,5438.0,1087.0,152.5,0.229,49.763,105.0,106.0,18.0,-1.0
40,40000,1000,91.0,0.308,50.763,5690.0,5519.0,1103.0,171.0,0.197,55.125,99.5,81.0,16.0,18.5
41,41000,1000,157.0,0.31,50.934,5887.0,5671.0,1148.0,216.0,0.394,56.447,197.0,152.0,45.0,45.0
42,42000,1000,141.0,0.311,51.101,6081.0,5819.0,1166.0,262.0,0.36,56.725,194.0,148.0,18.0,46.0
43,43000,1000,127.0,0.31,51.066,6193.5,5935.0,1193.0,258.5,0.256,49.234,112.5,116.0,27.0,-3.5
44,44000,1000,103.0,0.308,50.998,6300.5,6054.0,1206.0,246.5,0.239,47.345,107.0,119.0,13.0,-12.0
45,45000,1000,141.0,0.311,50.902,6487.0,6257.0,1242.0,230.0,0.425,47.882,186.5,203.0,36.0,-16.5
46,46000,1000,180.0,0.312,50.798,6651.0,6442.0,1273.0,209.0,0.38,46.991,164.0,185.0,31.0,-21.0
47,47000,1000,147.0,0.313,50.898,6831.0,6590.0,1312.0,241.0,0.367,54.878,180.0,148.0,39.0,32.0
48,48000,1000,120.0,0.313,51.078,6992.0,6697.0,1353.0,295.0,0.309,60.075,161.0,107.0,41.0,54.0
